tstamp,high,low,open,close,volume
1522675800,3418.8799,3100.1599,3114.24,3317.76,70
1522762200,3274.8799,3175.6799,3235.8401,3175.6799,9
1522848600,3374.0801,3106.5601,3367.6799,3115.52,44
1522935000,3031.6799,3031.6799,3031.6799,3031.6799,31
1523021400,3308.8,3066.24,3066.24,3187.2,14
1523280600,3187.2,3187.2,3187.2,3187.2,16
1523367000,3187.2,3187.2,3187.2,3187.2,2
1523453400,3187.2,3187.2,3187.2,3187.2,2
1523539800,3077.76,3077.76,3077.76,3077.76,13
1523626200,2942.72,2942.72,2942.72,2942.72,13
1523885400,2793.6001,2793.6001,2793.6001,2793.6001,9
1523971800,2579.2,2579.2,2579.2,2579.2,11
1524058200,2640.6399,2593.28,2640.6399,2595.8401,30
1524144600,2709.76,2621.4399,2667.52,2622.0801,367
1524231000,2723.2,2695.04,2723.2,2695.04,20
1524490200,2681.6001,2629.76,2681.6001,2662.3999,23
1524576600,2661.76,2661.76,2661.76,2661.76,13
1524663000,2928,2835.2,2928,2851.2,72
1524749400,2800.6399,2708.48,2800.6399,2717.4399,20
1524835800,2671.3601,2651.2,2671.3601,2651.2,5
1525095000,2625.28,2625.28,2625.28,2625.28,2
1525181400,2711.04,2707.2,2707.2,2711.04,5
1525267800,2602.24,2544.6399,2596.48,2544.6399,9
1525354200,2800,2686.72,2686.72,2752,36
1525440600,2579.2,2579.2,2579.2,2579.2,3
1525699800,2552.96,2544,2552.96,2544,17
1525786200,2544,2544,2544,2544,0
1525872600,2511.3601,2476.1599,2511.3601,2482.5601,45
1525959000,2349.4399,2343.04,2343.04,2349.4399,13
1526045400,2352.6399,2293.1201,2330.8799,2293.1201,1167
1526304600,2225.9199,2225.9199,2225.9199,2225.9199,5
1526391000,2387.2,2324.48,2340.48,2387.2,27
1526477400,2336,2287.3601,2336,2308.1599,13
1526563800,2295.6799,2250.8799,2295.6799,2250.8799,23
1526650200,2271.3601,2266.8799,2269.4399,2266.8799,25
1526909400,2195.8401,2154.24,2154.24,2176,52
1526995800,2191.488,2191.488,2191.488,2191.488,6
1527082200,2300.1599,2174.72,2300.1599,2174.72,25
1527168600,2271.3601,2187.52,2216.96,2187.52,106
1527255000,2187.52,2164.48,2187.52,2164.48,13
1527600600,2523.52,2307.8401,2307.8401,2458.8799,150
1527687000,2362.8799,2339.8401,2362.8799,2339.8401,45
1527773400,2388.48,2333.4399,2364.8,2364.1599,59
1527859800,2261.76,2248.3201,2261.1201,2248.3201,163
1528119000,2248.3201,2248.3201,2248.3201,2248.3201,3
1528205400,2177.28,2177.28,2177.28,2177.28,5
1528291800,2118.3999,2076.1599,2118.3999,2076.1599,22
1528378200,2152.96,2062.72,2062.72,2100.48,188
1528464600,2075.52,2075.52,2075.52,2075.52,3
1528723800,2092.8,2048,2092.8,2053.1201,73
1528810200,2046.72,2033.92,2033.92,2046.72,22
1528896600,2068.48,2026.24,2026.24,2056.96,23
1528983000,2022.4,1998.08,2022.4,2001.408,42
1529069400,2049.28,2023.6801,2048,2023.6801,34
1529328600,2085.76,1998.08,2085.76,1999.936,273
